dataset,N,ns
Random,10000,608145
Random,50000,3209299
Random,100000,7244733
Random,200000,14977485
Random,500000,39227453
NearlySorted,10000,286395
NearlySorted,50000,1566627
NearlySorted,100000,4052538
NearlySorted,200000,11227718
NearlySorted,500000,18697126
Duplicates,10000,1997682
Duplicates,50000,10490554
Duplicates,100000,34995878
Duplicates,200000,127637628
Duplicates,500000,968155343
